name, abbr, motto, slogan, manifesto, avatar, about
Freedom and Justice Party,FJP,"Equity annd Advanced Development","FJP: Freedom,\nFJP: Justice,\nNigeria: without tears",,,,
Fresh Democratic Party,,"Destiny and Purpose",,,,,
